company,job_title
University-of-Houston,Chemist
Houston-Methodist,Chemist
"Nesco-Resource,-LLC",Chemist
Momentive-Specialty-Chemicals-2,Chemist
Nalco-Champion%2C-An-Ecolab-Company,Chemist
Rice-University,Chemist
Halliburton,Chemist
"Assure-Oilfield-Testing,-Inc.-1",Chemist
Bureau-Veritas,Chemist
Praxair,Chemist
Labtopia-1,Chemist
Houston-Baptist-University,Chemist
"Nalco-Champion,-An-Ecolab-Company",Chemist
SAN-Jacinto-College,Chemist
Zimmerman-Medical-Clinic,Chemist
Schlumberger,Chemist
Chamberlain-College-of-Nursing,Chemist
Md-Anderson-Cancer-Center,Chemist
Yes-Prep-Public-Schools,Chemist
O%27rourke-Petroleum,Chemist
Tech-2000,Chemist
Kelly-Services,Chemist
Sgs,Chemist
Lee-College,Chemist
College-Nannies-%2B-Tutors,Chemist
Ut-Health-Science-Center-At-Houston,Chemist
The-Kinkaid-School,Chemist
Nesco-Resource%2C-LLC,Chemist
Staffing-the-Universe,Chemist
Intertek,Chemist
College-Nannies-%252B-Tutors,Chemist
Devry-University,Chemist
Hexion-Inc.,Chemist
Exxonmobil,Chemist
Texas-Children%27s-Hospital,Chemist
Ascend-Performance-Materials,Chemist
Scholastic-Family-Tutoring,Chemist
Sysco,Chemist
Clinical-Pathology-Laboratories,Chemist
Doble-Engineering,Chemist
GE-Corporate,Chemist
Octapharma,Chemist
Stolt--nielsen-Limited,Chemist
Texas-Children's-Hospital,Chemist
O'rourke-Petroleum,Chemist
St.-Joseph-Medical-Center,Chemist
Nes-Global-Talent,Chemist
Solvay,Chemist
Lyondell,Chemist
Stericycle,Chemist
Search-Solution-Group,Chemist
Clean-Harbors,Chemist
Baylor-College-of-Medicine,Chemist
Lonestar-College-System-1,Chemist
Prosperity-Bank,Conservation
Roto--rooter-Plumbing-&-Drain-Service,Conservation
Select-Search%2C-LLC,Conservation
Houston-Methodist,Conservation
Macy's,Conservation
CVS-Health,Conservation
Ieh-Laboratories-1,Conservation
UnitedHealth-Group,Conservation
Latham-&-Watkins-LLP,Conservation
My-Wireless,Conservation
AECOM,Conservation
Nalco-Champion%2C-An-Ecolab-Company,Conservation
City-of-Houston%2C-Tx,Conservation
Edp-Renewables-North-America,Conservation
Phillips-66,Conservation
Conserva-Irrigation-1,Conservation
Amegy-Bank,Conservation
Ghd,Conservation
Nci-Building-Systems,Conservation
Paul-Davis-Emergency-Services-of-West-Houston,Conservation
Mustang-Cat,Conservation
The-Nature-Conservancy,Conservation
Learning-Care-Group-1,Conservation
Great-Clips,Conservation
Latham-%26-Watkins-LLP,Conservation
Texas-Children%27s-Hospital,Conservation
Cohen-Pipe-&-Industrial-Supply,Conservation
Surveying-%26-Mapping%2C-LLC-%28sam%29,Conservation
Pattern-Energy,Conservation
Hsse,Conservation
"Lpc-Personnel,-Inc.",Conservation
"Gane-Technology,-Inc.",Conservation
Statoil-Gulf-Services-LLC,Conservation
Ranger-6b982a83,Conservation
Engie,Conservation
Catholic-Health-Initiatives,Conservation
Texas-Inpatient-Consultants,Conservation
Nestl%25C3%25A9-Waters-North-America-1,Conservation
Univar,Conservation
Erm,Conservation
Gullett-&-Associates,Conservation
H.b.-Fuller,Conservation
Liberty-Mutual,Conservation
Best-Buy,Conservation
Ch2m,Conservation
Ceres-Environmental-Services,Conservation
Joco,Conservation
Nextgen-Staffing,Conservation
Edf-Trading-North-America-LLC,Conservation
Sodexo,Conservation
Celanese,Conservation
Gullett-%26-Associates,Conservation
Contemporary-Services-Corporation,Conservation
University-of-Houston--downtown,Conservation
Roto--rooter-Plumbing-%26-Drain-Service,Conservation
Sheldon-Independent-School-District,Conservation
Vans,Conservation
Vision-Quest-Consultants,Conservation
JPMorgan-Chase,Conservation
St.-Joseph-Medical-Center,Conservation
Houston-Community-College,Conservation
Cohen-Pipe-%26-Industrial-Supply,Conservation
Waxing-the-City---Houston%2C-Tx,Conservation
Baylor-College-of-Medicine,Conservation
Mei-LLC,Conservation
Ameresco,Conservation
Pbk-Architects,Conservation
Lauckgroup-1,Conservation
Dell,Conservation
Kindred-Healthcare,Conservation
Ihs-Markit,Conservation
Procare-Therapy-2,Conservation
American-Midstream-GP-LLC,Conservation
Blackmon-Mooring-&-Bmscat,Conservation
Rainbow-International-of-Sugar-Land-and-Katy,Conservation
Insperity,Conservation
"Nalco-Champion,-An-Ecolab-Company",Conservation
Ts-Dudley-1,Conservation
Colllege-Nannies-and-Tutors,Conservation
Yes-Prep-Public-Schools,Conservation
Set-Environmental,Conservation
"Surveying-&-Mapping,-LLC-(sam)",Conservation
Southwest-Key-Programs,Conservation
Precision-Executive-Search,Conservation
Lengston-Staffing-Services,Conservation
Kaplan,Conservation
Franklin-Retail-Solutions,Conservation
"T.-Baker-Smith,-LLC",Conservation
Atwell,Conservation
Terradin,Conservation
Clear-Lake-City-Water-Authority-1,Conservation
West-Inc.,Conservation
Stantec-Consulting,Conservation
"Trinity-Consultants,-Inc.",Conservation
Orion-Group,Conservation
Service-Masters-2,Conservation
"Dbr-Engineering-Consultants,-Inc.",Conservation
Ultimate,Conservation
Citi,Conservation
Brookhollow-Heights-Transitional-Care-Center,Conservation
Bank-of-America,Conservation
University-of-Houston,Conservation
Cemex,Conservation
La-Quinta-Inns-&-Suites,Conservation
Kleinfelder,Conservation
Jones-and-Carter,Conservation
Cbre,Conservation
"Center-For-Toxicology-and-Environmental-Health,-Llc.",Conservation
Macy%27s,Conservation
Watco-Companies,Conservation
Nestl%C3%A9-Waters-North-America-1,Conservation
Hhs,Conservation
Kinder-Morgan,Conservation
3q-Services-Pro,Conservation
Nextera-Energy,Conservation
Action-Potential-Learning,Conservation
Starr-Companies,Conservation
P%26M-Onshore,Conservation
Airswift,Conservation
American-Technologies-Inc,Conservation
"City-of-Houston,-Tx",Conservation
Ut-Health-Science-Center-At-Houston,Conservation
Agile-Premier,Conservation
Tetra-Tech,Conservation
Servomex,Conservation
The-Linde-Group,Conservation
Progressive-Global-Energy,Conservation
Raba--kistner,Conservation
Morningside-Nannies,Conservation
Water-Utility-Services%2C-Inc,Conservation
The-Hertz-Corporation,Conservation
Nrg-Energy,Conservation
Arup,Conservation
Texas-Campaign-For-the-Environment,Conservation
La-Quinta-Inns-%26-Suites,Conservation
Home-Health-Care-Network-1,Conservation
Texas-Children's-Hospital,Conservation
Gulbrandsen-Technologies,Conservation
Lyondell,Conservation
Special-Counsel,Conservation
Swissport-International-Ltd.,Conservation
Community-Impact-Newspaper,Conservation
Groupe-Leader,Conservation
Dc-International-Inc-1,Conservation
Blackmon-Mooring-%26-Bmscat,Conservation
Fidelity-Investments,Conservation
Acorn-International%2C-LLC-1,Conservation
Weathervision-Wxvo--tv,meteorologist 
Bloomsky-Inc,meteorologist 
Heritage-Broadcasting,meteorologist 
Engility-Corp,meteorologist 
IBM,meteorologist 
Kulr--8-Tv,meteorologist 
Disney-ABC,meteorologist 
Centuria-Corporation,meteorologist 
Aws-Truepower,meteorologist 
Cox-Media-Group,meteorologist 
Waterman-Broadcasting-1,meteorologist 
Nexstar-Broadcasting,meteorologist 
Tribune-Media-Company,meteorologist 
